model_id,ch,seed,fold,test_sub,acc_a,f1_a,acc_b,f1_b,best_val_f1,elapsed
M17,6ch,1,1,1,0.4315,0.4225,0.3968,0.3874,1.0,199.8
M17,6ch,1,2,2,0.301,0.2847,0.3006,0.2843,1.0,227.2
M17,6ch,1,3,3,0.2774,0.2368,0.2708,0.247,1.0,215.5
M17,6ch,1,4,4,0.5198,0.5111,0.5227,0.5138,1.0,186.0
M17,6ch,1,5,5,0.2395,0.2145,0.3352,0.307,1.0,153.1
M17,6ch,1,6,6,0.2559,0.2576,0.2942,0.2929,1.0,158.7
M17,6ch,1,7,7,0.4846,0.4983,0.5332,0.5483,0.9996,169.5
M17,6ch,1,8,8,0.311,0.3032,0.3171,0.3127,1.0,143.3
M17,6ch,1,9,9,0.5038,0.4902,0.4994,0.4858,1.0,217.0
M17,6ch,1,10,10,0.39,0.3793,0.4036,0.3974,0.9995,168.8
M17,6ch,1,11,11,0.3218,0.3208,0.3223,0.3247,1.0,150.7
M17,6ch,1,12,12,0.3134,0.3103,0.334,0.3327,1.0,184.5
M17,6ch,1,13,13,0.2822,0.2791,0.2584,0.2506,1.0,179.6
M17,6ch,1,14,14,0.3892,0.3933,0.3948,0.3948,0.9993,183.7
M17,6ch,1,15,15,0.3756,0.4002,0.3654,0.3857,1.0,193.4
M17,6ch,7,1,1,0.3737,0.3691,0.4109,0.4032,0.9996,223.5
M17,6ch,7,2,2,0.3102,0.2925,0.3046,0.2988,1.0,155.4
M17,6ch,7,3,3,0.2946,0.247,0.2918,0.2393,1.0,142.3
M17,6ch,7,4,4,0.3976,0.3971,0.4338,0.4299,1.0,201.6
M17,6ch,7,5,5,0.2515,0.2334,0.2579,0.2337,1.0,195.2
M17,6ch,7,6,6,0.2056,0.1976,0.2338,0.2222,1.0,187.0
M17,6ch,7,7,7,0.4339,0.4411,0.4419,0.4426,0.9996,202.9
M17,6ch,7,8,8,0.404,0.377,0.4161,0.4,0.9996,257.4
M17,6ch,7,9,9,0.4447,0.4343,0.4519,0.4422,1.0,164.1
M17,6ch,7,10,10,0.4052,0.3987,0.4201,0.417,0.9998,176.2
M17,6ch,7,11,11,0.3848,0.3862,0.404,0.404,1.0,185.4
M17,6ch,7,12,12,0.3293,0.3176,0.3187,0.3137,0.9987,157.1
M17,6ch,7,13,13,0.2323,0.2356,0.2636,0.2596,1.0,185.5
M17,6ch,7,14,14,0.3046,0.3075,0.3364,0.3316,0.9998,233.9
M17,6ch,7,15,15,0.3166,0.3276,0.3537,0.3608,1.0,201.0
M17,6ch,21,1,1,0.4128,0.4098,0.3996,0.3919,0.9998,158.8
M17,6ch,21,2,2,0.2874,0.2629,0.2596,0.2388,1.0,227.5
M17,6ch,21,3,3,0.3134,0.2824,0.3779,0.3693,1.0,165.5
M17,6ch,21,4,4,0.4287,0.4267,0.4068,0.406,1.0,161.5
M17,6ch,21,5,5,0.3537,0.3069,0.3537,0.3114,1.0,163.6
M17,6ch,21,6,6,0.2786,0.2773,0.2624,0.2589,1.0,165.9
M17,6ch,21,7,7,0.4575,0.467,0.4668,0.4692,0.9998,188.2
M17,6ch,21,8,8,0.3493,0.3491,0.3614,0.3668,1.0,184.8
M17,6ch,21,9,9,0.4068,0.3535,0.4068,0.3757,1.0,221.4
M17,6ch,21,10,10,0.3389,0.3262,0.3489,0.338,1.0,240.4
M17,6ch,21,11,11,0.3629,0.3644,0.3702,0.37,1.0,236.4
M17,6ch,21,12,12,0.2762,0.2695,0.2708,0.2618,1.0,244.2
M17,6ch,21,13,13,0.4164,0.4169,0.3915,0.3931,1.0,310.8
M17,6ch,21,14,14,0.376,0.3775,0.3847,0.3883,1.0,304.8
M17,6ch,21,15,15,0.3281,0.3398,0.2893,0.3034,0.9996,269.8
