model,seed,fold,acc_A,f1_A,acc_B,f1_B
M25_teacher,1,1,0.5153692614770459,0.5109233938436137,0.48048289738430583,0.4346398424929397
M26_student,1,1,0.4407185628742515,0.4336416950992045,0.4329979879275654,0.36650866927240694
M25_teacher,1,2,0.49540918163672654,0.4892532937708246,0.6084507042253521,0.5726025612274108
M26_student,1,2,0.4183632734530938,0.38721762763795153,0.47565392354124747,0.39720623713167325
M25_teacher,1,3,0.332934131736527,0.3435868402607148,0.40080482897384306,0.33340495655185654
M26_student,1,3,0.4530938123752495,0.43993488288618526,0.34285714285714286,0.20821666056139523
M25_teacher,1,4,0.5321357285429141,0.5088117310952636,0.4651911468812877,0.36403258548895745
M26_student,1,4,0.5676646706586826,0.5372017310769884,0.5327967806841046,0.47393235923402244
M25_teacher,1,5,0.34890219560878244,0.3093740494399656,0.4768611670020121,0.3782970022593859
M26_student,1,5,0.4219560878243513,0.3897810414507941,0.44346076458752515,0.3414556595717515
M25_teacher,1,6,0.3900199600798403,0.39374486438029965,0.5175050301810865,0.47030390514136805
M26_student,1,6,0.3836327345309381,0.35569789510688155,0.36257545271629776,0.30681721222957636
M25_teacher,1,7,0.725748502994012,0.7187455384743247,0.7601609657947687,0.7473539176796972
M26_student,1,7,0.6083832335329341,0.6038220646302909,0.6301810865191146,0.5750305952773392
M25_teacher,1,8,0.4998003992015968,0.4921171022000791,0.682092555331992,0.6500136930323885
M26_student,1,8,0.3908183632734531,0.3840759217913137,0.4374245472837022,0.42812678850872476
M25_teacher,1,9,0.46187624750499,0.44515965785217815,0.5243460764587525,0.4942096876752265
M26_student,1,9,0.4287425149700599,0.40895721505306637,0.49014084507042255,0.4058778019072761
M25_teacher,1,10,0.5369261477045908,0.5350496357893072,0.5501006036217304,0.524971550556277
M26_student,1,10,0.444311377245509,0.4218236596172397,0.4704225352112676,0.3864784561166218
M25_teacher,1,11,0.3780439121756487,0.37544280609100134,0.5911468812877264,0.551563858947701
M26_student,1,11,0.47984031936127747,0.4615277755090029,0.4631790744466801,0.41236839295448713
M25_teacher,1,12,0.4718562874251497,0.4487422383862742,0.5762575452716298,0.5496129116163645
M26_student,1,12,0.32894211576846305,0.3330981570424707,0.4012072434607646,0.3641530913162749
M25_teacher,1,13,0.38283433133732536,0.37068533508250695,0.4824949698189135,0.46351706674758075
M26_student,1,13,0.3149700598802395,0.30053449447488056,0.3464788732394366,0.26098185940639
M25_teacher,1,14,0.47664670658682634,0.4674100437324772,0.5963782696177062,0.5775680706379931
M26_student,1,14,0.3025948103792415,0.3012031590007675,0.4651911468812877,0.4038574664646898
M25_teacher,1,15,0.5301397205588823,0.5352966679380975,0.7114688128772636,0.6997632354432755
M26_student,1,15,0.37405189620758483,0.370818119376274,0.6064386317907444,0.5821932143595008
M25_teacher,7,1,0.4718562874251497,0.4684161341102266,0.3839034205231388,0.2833102634277122
M26_student,7,1,0.4678642714570858,0.45073922640352737,0.45593561368209257,0.3892375362486189
M25_teacher,7,2,0.5920159680638722,0.5881976485584344,0.5983903420523139,0.5813874925492493
M26_student,7,2,0.36167664670658684,0.33900907258156177,0.44064386317907445,0.37679323167037
M25_teacher,7,3,0.37524950099800397,0.37354792688957084,0.413682092555332,0.32661184773335505
M26_student,7,3,0.37964071856287424,0.3856074919710809,0.36780684104627764,0.23440479051510055
M25_teacher,7,4,0.5365269461077844,0.5242045659468781,0.5271629778672032,0.42589696453749715
M26_student,7,4,0.5369261477045908,0.47947648203321536,0.48490945674044267,0.38362430924989577
M25_teacher,7,5,0.4483033932135729,0.40438364870300597,0.406841046277666,0.32695206863773
M26_student,7,5,0.4471057884231537,0.4007239913634486,0.4132796780684105,0.31887424220712296
M25_teacher,7,6,0.31017964071856285,0.30811525254368655,0.510261569416499,0.43498891240954796
M26_student,7,6,0.4087824351297405,0.42350358813402245,0.4470824949698189,0.4095537586368905
M25_teacher,7,7,0.7005988023952096,0.6974170560556161,0.6929577464788732,0.6823675085438325
M26_student,7,7,0.5289421157684631,0.5176474288594548,0.5545271629778672,0.4958141393068908
M25_teacher,7,8,0.31017964071856285,0.31001564483682564,0.5243460764587525,0.4610653371349692
M26_student,7,8,0.3524950099800399,0.3458932889762053,0.35975855130784706,0.3407335175714771
M25_teacher,7,9,0.4626746506986028,0.4535130616052286,0.5267605633802817,0.4595106593621314
M26_student,7,9,0.3964071856287425,0.36405125964319385,0.4688128772635815,0.38467960528114936
M25_teacher,7,10,0.5457085828343313,0.5369636246991689,0.4977867203219316,0.4334243893202424
M26_student,7,10,0.38283433133732536,0.3564102566731544,0.4676056338028169,0.41856793907101686
M25_teacher,7,11,0.47305389221556887,0.48842231915638024,0.4470824949698189,0.3914298901512121
M26_student,7,11,0.3976047904191617,0.39758168082860734,0.45472837022132795,0.437093784662161
M25_teacher,7,12,0.43992015968063874,0.42839994580002144,0.566599597585513,0.5505699248894194
M26_student,7,12,0.4231536926147705,0.41980285741308715,0.39436619718309857,0.3264839301836666
M25_teacher,7,13,0.4411177644710579,0.43373001828114544,0.532394366197183,0.5158279488638804
M26_student,7,13,0.2718562874251497,0.2482270630874084,0.35694164989939636,0.2568500573708834
M25_teacher,7,14,0.4874251497005988,0.46384229499529545,0.5742454728370221,0.5302468164892044
M26_student,7,14,0.43233532934131735,0.4300036644160843,0.47927565392354127,0.4092776161616659
M25_teacher,7,15,0.5880239520958084,0.5764200075484237,0.7090543259557344,0.7036249857743404
M26_student,7,15,0.4491017964071856,0.44071890100346994,0.6567404426559356,0.6505410590104637
M25_teacher,21,1,0.5217564870259481,0.5135576266318242,0.42696177062374246,0.3592743276874259
M26_student,21,1,0.4534930139720559,0.44387939201187093,0.44466800804828976,0.40626557255605833
M25_teacher,21,2,0.4678642714570858,0.45956661883601113,0.5843058350100604,0.5115090407252708
M26_student,21,2,0.37644710578842316,0.3744446169182228,0.4676056338028169,0.39991295162709606
M25_teacher,21,3,0.38243512974051896,0.3303083904607197,0.4563380281690141,0.3667195216892496
M26_student,21,3,0.3217564870259481,0.3222934183673949,0.42937625754527164,0.33786798380925775
M25_teacher,21,4,0.5413173652694611,0.5418359163557065,0.4329979879275654,0.3197792942158787
M26_student,21,4,0.5013972055888224,0.4841517476432166,0.5287726358148893,0.4401817253540945
M25_teacher,21,5,0.4127744510978044,0.3668976618667426,0.48128772635814887,0.36222116488225053
M26_student,21,5,0.35169660678642717,0.32430070410422623,0.39114688128772634,0.3158616957472844
M25_teacher,21,6,0.39520958083832336,0.39387118724044945,0.5295774647887324,0.45836476681206
M26_student,21,6,0.34251497005988024,0.2969752165944116,0.42575452716297785,0.3754050337373559
M25_teacher,21,7,0.7469061876247505,0.7396635168374299,0.7456740442655936,0.7378422276717556
M26_student,21,7,0.624750499001996,0.6164300624617624,0.6181086519114688,0.6024359381051044
M25_teacher,21,8,0.4379241516966068,0.4185273062675798,0.5259557344064386,0.5107978216060552
M26_student,21,8,0.3852295409181637,0.37670337180920604,0.49054325955734407,0.46975018539343966
M25_teacher,21,9,0.43233532934131735,0.41523676182162694,0.5356136820925553,0.48059528401764445
M26_student,21,9,0.5449101796407185,0.5211964795891778,0.5114688128772635,0.45224780139040444
M25_teacher,21,10,0.4906187624750499,0.4893812723795987,0.45754527162977865,0.41761159707705797
M26_student,21,10,0.46107784431137727,0.4198780691092157,0.44748490945674047,0.37754301100893295
M25_teacher,21,11,0.47744510978043914,0.46186071291121356,0.5645875251509054,0.5138323467234709
M26_student,21,11,0.3688622754491018,0.3508466162604802,0.42937625754527164,0.37446642109517564
M25_teacher,21,12,0.5013972055888224,0.4951050909556473,0.5826961770623742,0.5488561575449312
M26_student,21,12,0.2678642714570858,0.2538034352886759,0.3674044265593561,0.30303305658645335
M25_teacher,21,13,0.4750499001996008,0.4691534144024589,0.5090543259557344,0.48643137034120254
M26_student,21,13,0.25748502994011974,0.2515634938600234,0.3505030181086519,0.26423395513775527
M25_teacher,21,14,0.3788423153692615,0.369258679743692,0.5472837022132797,0.5268045000432646
M26_student,21,14,0.4351297405189621,0.406355828691432,0.5613682092555332,0.5279505947101595
M25_teacher,21,15,0.5712574850299401,0.5627112262358163,0.6993963782696178,0.6900975520217174
M26_student,21,15,0.44550898203592815,0.45493320976680285,0.5847082494969819,0.5609695541993296
