model id,name,ch,n runs,acc a mean,acc a std,f1 a mean,f1 a std,acc b mean,acc b std,f1 b mean,f1 b std
M11,Shallow MLP,62ch,45.000,0.4765,0.1042,0.4739,0.1045,0.4961,0.0983,0.4930,0.0985
M11,Shallow MLP,6ch,45.000,0.4004,0.0875,0.3929,0.0859,0.4118,0.0870,0.4049,0.0859
M12,Deep MLP,62ch,45.000,0.4787,0.1098,0.4763,0.1097,0.4921,0.1023,0.4888,0.1015
M12,Deep MLP,6ch,45.000,0.3978,0.0843,0.3888,0.0844,0.4005,0.0786,0.3955,0.0789
M13,LSTM,62ch,45.000,0.4298,0.1174,0.4197,0.1280,0.4312,0.1179,0.4213,0.1284
M13,LSTM,6ch,45.000,0.3840,0.0713,0.3761,0.0721,0.3847,0.0702,0.3773,0.0705
M14,GRU,62ch,45.000,0.4390,0.1060,0.4310,0.1110,0.4411,0.1055,0.4339,0.1101
M14,GRU,6ch,45.000,0.3757,0.0779,0.3688,0.0796,0.3777,0.0768,0.3713,0.0785
M15,Conv1D,62ch,45.000,0.4303,0.1235,0.4192,0.1276,0.4455,0.1062,0.4380,0.1101
M15,Conv1D,6ch,45.000,0.3753,0.0750,0.3664,0.0784,0.3789,0.0788,0.3728,0.0803
M16,Vanilla Transformer,62ch,45.000,0.4047,0.0788,0.3929,0.0822,0.4068,0.0792,0.3952,0.0825
M16,Vanilla Transformer,6ch,45.000,0.3684,0.0665,0.3576,0.0678,0.3710,0.0664,0.3601,0.0679
M17,EEG Conformer,62ch,45.000,0.4528,0.1206,0.4467,0.1246,0.4594,0.1134,0.4544,0.1163
M17,EEG Conformer,6ch,45.000,0.3527,0.0743,0.3443,0.0790,0.3608,0.0740,0.3535,0.0784
M18,ChanDrop Transformer,62ch,45.000,0.4303,0.0744,0.4180,0.0802,0.4315,0.0745,0.4195,0.0800
M18,ChanDrop Transformer,6ch,45.000,0.3908,0.0626,0.3828,0.0635,0.3977,0.0628,0.3905,0.0635
M19,DANN,62ch,45.000,0.4584,0.1133,0.4547,0.1155,0.6619,0.0915,0.6543,0.0954
M19,DANN,6ch,45.000,0.3964,0.0920,0.3863,0.0917,0.5904,0.0731,0.5795,0.0791
M20,CLISA,62ch,45.000,0.4845,0.1175,0.4797,0.1198,0.6801,0.0901,0.6742,0.0931
M20,CLISA,6ch,45.000,0.4055,0.0749,0.3979,0.0761,0.6199,0.0744,0.6114,0.0770
M21,SimCLR,62ch,45.000,0.4114,0.0935,0.4059,0.0955,0.5745,0.0848,0.5568,0.0896
M21,SimCLR,6ch,45.000,0.4465,0.1067,0.4405,0.1092,0.6020,0.0972,0.5822,0.1084
M22,BYOL,62ch,45.000,0.4308,0.0977,0.4225,0.1059,0.6089,0.0906,0.5944,0.0978
M22,BYOL,6ch,45.000,0.4403,0.1038,0.4328,0.1043,0.6124,0.0928,0.5977,0.0974
M23,PseudoLabel,62ch,45.000,0.4682,0.1153,0.4656,0.1168,0.6574,0.0856,0.6538,0.0854
M23,PseudoLabel,6ch,45.000,0.4047,0.0947,0.3943,0.0952,0.6102,0.0843,0.5999,0.0888
M24,MixMatch,62ch,45.000,0.2853,0.0787,0.2429,0.0812,0.5350,0.1018,0.5217,0.1094
M24,MixMatch,6ch,45.000,0.2704,0.0704,0.2263,0.0654,0.3642,0.0746,0.3343,0.0698
